date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:26	18676/18676	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:28:50%20GMT	http://math.iisc.ac.in/~nmi/NBSSEConfdeadline.php	./math.iisc.ac.in/_nmi/NBSSEConfdeadline.html	(from http://math.iisc.ac.in/~nmi/NBSSEConf.php)
10:27:28	17094/17094	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:28:51%20GMT	http://math.iisc.ac.in/~nmi/QGGAWSOrgCom.php	./math.iisc.ac.in/_nmi/QGGAWSOrgCom.html	(from http://math.iisc.ac.in/~nmi/QGGAWS.php)
10:27:29	17292/17292	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:28:53%20GMT	http://math.iisc.ac.in/~nmi/QGGAWSResourcePersons.php	./math.iisc.ac.in/_nmi/QGGAWSResourcePersons.html	(from http://math.iisc.ac.in/~nmi/QGGAWS.php)
10:27:31	16141/16141	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:28:54%20GMT	http://math.iisc.ac.in/~nmi/QGGAWSdeadlines.php	./math.iisc.ac.in/_nmi/QGGAWSdeadlines.html	(from http://math.iisc.ac.in/~nmi/QGGAWS.php)
10:27:32	17015/17015	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:28:56%20GMT	http://math.iisc.ac.in/~nmi/QGGAWSVenue.php	./math.iisc.ac.in/_nmi/QGGAWSVenue.html	(from http://math.iisc.ac.in/~nmi/QGGAWS.php)
10:27:34	18129/18129	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:28:57%20GMT	http://math.iisc.ac.in/~nmi/MIDWSOrgCom.php	./math.iisc.ac.in/_nmi/MIDWSOrgCom.html	(from http://math.iisc.ac.in/~nmi/MIDWS.php)
10:27:35	17662/17662	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:28:59%20GMT	http://math.iisc.ac.in/~nmi/MIDWSResourcePersons.php	./math.iisc.ac.in/_nmi/MIDWSResourcePersons.html	(from http://math.iisc.ac.in/~nmi/MIDWS.php)
10:27:37	16639/16639	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:00%20GMT	http://math.iisc.ac.in/~nmi/MIDWSdeadlines.php	./math.iisc.ac.in/_nmi/MIDWSdeadlines.html	(from http://math.iisc.ac.in/~nmi/MIDWS.php)
10:27:38	17406/17406	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:02%20GMT	http://math.iisc.ac.in/~nmi/MIDWSVenue.php	./math.iisc.ac.in/_nmi/MIDWSVenue.html	(from http://math.iisc.ac.in/~nmi/MIDWS.php)
10:27:39	16556/16556	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:04%20GMT	http://math.iisc.ac.in/~nmi/MDDWSOrgCom.php	./math.iisc.ac.in/_nmi/MDDWSOrgCom.html	(from http://math.iisc.ac.in/~nmi/MDDWS.php)
10:27:41	18078/18078	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:05%20GMT	http://math.iisc.ac.in/~nmi/MDDWSResourcePersons.php	./math.iisc.ac.in/_nmi/MDDWSResourcePersons.html	(from http://math.iisc.ac.in/~nmi/MDDWS.php)
10:27:42	16538/16538	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:06%20GMT	http://math.iisc.ac.in/~nmi/MDDWSdeadlines.php	./math.iisc.ac.in/_nmi/MDDWSdeadlines.html	(from http://math.iisc.ac.in/~nmi/MDDWS.php)
10:27:44	17254/17254	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:07%20GMT	http://math.iisc.ac.in/~nmi/MDDWSVenue.php	./math.iisc.ac.in/_nmi/MDDWSVenue.html	(from http://math.iisc.ac.in/~nmi/MDDWS.php)
10:27:45	18381/18381	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:09%20GMT	http://math.iisc.ac.in/~nmi/MEWSOrgCom.php	./math.iisc.ac.in/_nmi/MEWSOrgCom.html	(from http://math.iisc.ac.in/~nmi/MEWS.php)
10:27:47	18230/18230	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:10%20GMT	http://math.iisc.ac.in/~nmi/MEWSResourcePersons.php	./math.iisc.ac.in/_nmi/MEWSResourcePersons.html	(from http://math.iisc.ac.in/~nmi/MEWS.php)
10:27:55	48871/48871	---M--	200	added ('OK')	application/pdf	etag:%2217c0390-bee7-495fa91d72000%22	http://math.iisc.ac.in/~nmi/downloads/MEWS-PS.pdf	./math.iisc.ac.in/_nmi/downloads/MEWS-PS.pdf	(from http://math.iisc.ac.in/~nmi/MEWS.php)
10:28:15	126791/126791	---M--	200	added ('OK')	application/pdf	etag:%2217c03ce-1ef47-492ac76341e80%22	http://math.iisc.ac.in/~nmi/downloads/SelectedParticipantList.pdf	./math.iisc.ac.in/_nmi/downloads/SelectedParticipantList.pdf	(from http://math.iisc.ac.in/~nmi/MEWS.php)
10:28:17	17392/17392	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:41%20GMT	http://math.iisc.ac.in/~nmi/MEWSdeadlines.php	./math.iisc.ac.in/_nmi/MEWSdeadlines.html	(from http://math.iisc.ac.in/~nmi/MEWS.php)
10:28:19	17336/17336	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:42%20GMT	http://math.iisc.ac.in/~nmi/MEWSVenue.php	./math.iisc.ac.in/_nmi/MEWSVenue.html	(from http://math.iisc.ac.in/~nmi/MEWS.php)
10:28:20	18376/18376	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:44%20GMT	http://math.iisc.ac.in/~nmi/PSFFWSOrgCom.php	./math.iisc.ac.in/_nmi/PSFFWSOrgCom.html	(from http://math.iisc.ac.in/~nmi/PSFFWS.php)
10:28:21	18282/18282	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:45%20GMT	http://math.iisc.ac.in/~nmi/PSFFWSResourcePersons.php	./math.iisc.ac.in/_nmi/PSFFWSResourcePersons.html	(from http://math.iisc.ac.in/~nmi/PSFFWS.php)
10:28:25	939501/939501	---M--	200	added ('OK')	application/pdf	etag:%2217c03c0-e55ed-4c41e9b098d00%22	http://math.iisc.ac.in/~nmi/downloads/PS_NBSSEWS.pdf	./math.iisc.ac.in/_nmi/downloads/PS_NBSSEWS.pdf	(from http://math.iisc.ac.in/~nmi/NBSSEWS.php)
10:28:26	17405/17405	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:50%20GMT	http://math.iisc.ac.in/~nmi/PSFFWSdeadlines.php	./math.iisc.ac.in/_nmi/PSFFWSdeadlines.html	(from http://math.iisc.ac.in/~nmi/PSFFWS.php)
10:28:28	17253/17253	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202017%2005:29:51%20GMT	http://math.iisc.ac.in/~nmi/PSFFWSVenue.php	./math.iisc.ac.in/_nmi/PSFFWSVenue.html	(from http://math.iisc.ac.in/~nmi/PSFFWS.php)
